"Gear
Group",Year,Time,Lat,Latd,Lon,Effort,SWO,ALB,YFT,BET,CPUE_SWO,CPUE_ALB,CPUE_YFT,CPUE_BET
LL,2001,Sep-01,15,-15,5,7984,170,0,0,0,0.021292585,0,0,0
LL,2001,Sep-01,15,-15,10,20000,1335,0,545,250,0.06675,0,0.02725,0.0125
LL,2001,Sep-01,20,-20,5,68276,9069,2927,350,2126,0.13282852,0.042870115,0.005126252,0.031138321
LL,2001,Sep-01,20,-20,10,38760,10720,2630,645,2610,0.276573787,0.067853457,0.016640867,0.067337461
LL,2001,Sep-01,25,-25,10,79665,26410,7938,835,13980,0.331513212,0.099642252,0.010481391,0.175484843
LL,2001,Oct-01,25,-25,15,48570,4438,2404,0,1588,0.091373276,0.049495573,0,0.032695079
LL,2001,Oct-01,15,-15,5,8400,795,40,0,0,0.094642857,0.004761905,0,0
LL,2001,Oct-01,15,-15,10,53738,2261,326,732,3860,0.04207451,0.006066471,0.013621646,0.07182999
LL,2001,Oct-01,20,-20,5,2200,290,0,0,60,0.131818182,0,0,0.027272727
LL,2001,Oct-01,20,-20,10,48000,5021,221,0,665,0.104604167,0.004604167,0,0.013854167
LL,2001,Oct-01,25,-25,5,2600,1085,20,0,170,0.417307692,0.007692308,0,0.065384615
LL,2001,Oct-01,25,-25,10,84140,25010,3560,700,3179,0.297242691,0.042310435,0.008319468,0.037782268
LL,2001,Oct-01,25,-25,15,9300,511,380,0,623,0.054946237,0.040860215,0,0.066989247
LL,2001,Nov-01,15,-15,5,35316,762,43,952,11780,0.021576622,0.001217578,0.02695662,0.33355986
LL,2001,Nov-01,15,-15,10,105280,1585,533,1493,15260,0.015055091,0.00506269,0.014181231,0.144946809
LL,2001,Nov-01,20,-20,5,1000,140,0,0,0,0.14,0,0,0
LL,2001,Nov-01,20,-20,10,21300,1708,174,35,120,0.080187793,0.008169014,0.001643192,0.005633803
LL,2001,Nov-01,25,-25,5,31460,7948,0,0,0,0.252638271,0,0,0
LL,2001,Nov-01,25,-25,10,14520,4816,960,280,1160,0.331680441,0.066115702,0.019283747,0.079889807
LL,2001,Nov-01,25,-25,15,19600,975,3811,0,3835,0.049744898,0.194438776,0,0.195663265
LL,2001,Dec-01,15,-15,5,14050,265,0,0,0,0.01886121,0,0,0
LL,2001,Dec-01,15,-15,10,38770,290,0,450,300,0.00748001,0,0.011606913,0.007737942
LL,2001,Dec-01,20,-20,5,29300,800,15,130,125,0.027303754,0.000511945,0.00443686,0.004266212
LL,2001,Dec-01,20,-20,10,26850,903,30,90,0,0.033631285,0.001117318,0.003351955,0
LL,2001,Dec-01,25,-25,15,18000,690,49180,115,14230,0.038333333,2.732222222,0.006388889,0.790555556
LL,2002,Jan-02,15,-15,10,41000,250,0,505,400,0.006097561,0,0.012317073,0.009756098
LL,2002,Jan-02,20,-20,0,2400,0,65,0,0,0,0.027083333,0,0
LL,2002,Jan-02,20,-20,10,55600,3210,290,130,905,0.057733813,0.005215827,0.002338129,0.016276978
LL,2002,Jan-02,25,-25,5,1200,0,0,0,40,0,0,0,0.033333333
LL,2002,Jan-02,25,-25,10,42208,450,3990,0,525,0.010661486,0.094531842,0,0.0124384
LL,2002,Feb-02,20,-20,0,2400,305,0,0,0,0.127083333,0,0,0
LL,2002,Feb-02,20,-20,10,66120,711,400,20,0,0.010753176,0.006049607,0.00030248,0
LL,2002,Feb-02,25,-25,0,7200,1250,0,0,0,0.173611111,0,0,0
LL,2002,Feb-02,25,-25,5,11040,2520,90,0,0,0.22826087,0.008152174,0,0
LL,2002,Feb-02,25,-25,10,44600,1256,20,140,0,0.028161435,0.00044843,0.003139013,0
LL,2002,Mar-02,15,-15,10,93552,38,0,0,750,0.000406191,0,0,0.008016932
LL,2002,Mar-02,20,-20,5,1200,135,0,0,35,0.1125,0,0,0.029166667
LL,2002,Mar-02,20,-20,10,101624,2056,0,142,90,0.020231441,0,0.001397308,0.000885618
LL,2002,Mar-02,25,-25,5,2400,350,0,0,0,0.145833333,0,0,0
LL,2002,Mar-02,25,-25,10,53300,367,0,50,40,0.006885553,0,0.000938086,0.000750469
LL,2002,Apr-02,15,-15,0,21780,3125,0,0,0,0.143480257,0,0,0
LL,2002,Apr-02,15,-15,5,24180,740,45,110,150,0.030603805,0.001861042,0.004549214,0.006203474
LL,2002,Apr-02,15,-15,10,103360,3472,0,1290,680,0.033591331,0,0.01248065,0.006578947
LL,2002,Apr-02,20,-20,0,7260,1900,0,0,0,0.261707989,0,0,0
LL,2002,Apr-02,20,-20,5,11420,605,0,40,0,0.052977233,0,0.003502627,0
LL,2002,Apr-02,20,-20,10,52780,3641,20,75,270,0.068984464,0.000378931,0.001420993,0.005115574
LL,2002,May-02,25,-25,10,76900,847,40,350,0,0.011014304,0.000520156,0.004551365,0
LL,2002,May-02,15,-15,0,7260,1280,0,0,0,0.17630854,0,0,0
LL,2002,May-02,15,-15,5,15620,799,0,45,0,0.051152369,0,0.002880922,0
LL,2002,May-02,15,-15,10,23260,3447,0,65,1235,0.148194325,0,0.002794497,0.053095443
LL,2002,May-02,20,-20,5,4200,104,0,55,0,0.024761905,0,0.013095238,0
LL,2002,May-02,20,-20,10,51500,7052,0,1133,1190,0.136932039,0,0.022,0.023106796
LL,2002,Jun-02,25,-25,10,12600,550,110,30,0,0.043650794,0.008730159,0.002380952,0
LL,2002,Jun-02,15,-15,0,9680,1125,0,0,0,0.116219008,0,0,0
LL,2002,Jun-02,15,-15,10,27140,4216,0,280,1960,0.155342668,0,0.010316875,0.072218128
LL,2002,Jun-02,20,-20,0,7260,480,0,0,0,0.066115702,0,0,0
LL,2002,Jun-02,20,-20,5,4840,445,0,0,0,0.091942149,0,0,0
LL,2002,Jun-02,20,-20,10,75600,7312,24,379,868,0.096719577,0.00031746,0.005013228,0.011481481
LL,2002,Jun-02,25,-25,5,6500,2870,600,65,520,0.441538462,0.092307692,0.01,0.08
LL,2002,Jul-02,25,-25,10,49080,16889,8710,0,5870,0.344111654,0.177465363,0,0.119600652
LL,2002,Jul-02,15,-15,5,3920,12,0,0,0,0.003061224,0,0,0
LL,2002,Jul-02,15,-15,10,28800,110,0,170,0,0.003819444,0,0.005902778,0
LL,2002,Jul-02,20,-20,5,2420,146,0,0,0,0.060330579,0,0,0
LL,2002,Jul-02,20,-20,10,83532,328,10,1240,0,0.003926639,0.000119715,0.01484461,0
LL,2002,Jul-02,25,-25,5,9290,1669,1360,175,806,0.179655544,0.146393972,0.01883746,0.086759957
LL,2002,Aug-02,25,-25,10,92725,26501,11281,25,15101,0.285802103,0.121660825,0.000269614,0.162857913
LL,2002,Aug-02,15,-15,5,2651,370,40,0,0,0.139569974,0.015088646,0,0
LL,2002,Aug-02,15,-15,10,25952,1044,240,30,0,0.040228113,0.009247842,0.00115598,0
LL,2002,Aug-02,20,-20,5,3300,605,500,0,748,0.183333333,0.151515152,0,0.226666667
LL,2002,Aug-02,20,-20,10,122101,42062,7929,260,34308,0.344485303,0.064938043,0.002129385,0.2809805
LL,2002,Aug-02,20,-20,10,84730,9563,2317,10,7040,0.112864393,0.027345686,0.000118022,0.083087454
LL,2002,Sep-02,25,-25,5,5975,3111,1316,0,2675,0.520669456,0.220251046,0,0.447698745
LL,2002,Sep-02,15,-15,0,12100,784,0,0,0,0.064793388,0,0,0
LL,2002,Sep-02,15,-15,5,9680,169,0,0,0,0.017458678,0,0,0
LL,2002,Sep-02,15,-15,10,11520,143,0,0,0,0.012413194,0,0,0
LL,2002,Sep-02,20,-20,0,2420,262,0,0,0,0.108264463,0,0,0
LL,2002,Sep-02,20,-20,10,84341,3611,625,55,699,0.04281429,0.007410394,0.000652115,0.008287784
LL,2002,Sep-02,25,-25,10,100695,19485,2741,156,16952,0.193505139,0.027220815,0.001549233,0.168349968
LL,2002,Oct-02,20,-20,5,8400,1435,0,1075,0,0.170833333,0,0.12797619,0
LL,2002,Oct-02,20,-20,10,102343,9933,990,6771,65,0.097055978,0.009673353,0.066159874,0.000635119
LL,2002,Oct-02,25,-25,5,1800,421,80,0,110,0.233888889,0.044444444,0,0.061111111
LL,2002,Oct-02,25,-25,10,140733,44499,9018,60,58094,0.316194496,0.064078787,0.000426339,0.412795862
LL,2002,Nov-02,15,-15,10,14560,91,0,0,60,0.00625,0,0,0.004120879
LL,2002,Nov-02,20,-20,5,2200,270,0,315,0,0.122727273,0,0.143181818,0
LL,2002,Nov-02,20,-20,10,72082,4878,655,1085,794,0.067672928,0.009086873,0.015052302,0.011015233
LL,2002,Nov-02,25,-25,10,52692,5256,1021,100,12820,0.099749488,0.019376755,0.001897821,0.243300691
LL,2002,Dec-02,15,-15,10,13360,45,0,70,0,0.003368263,0,0.005239521,0
LL,2002,Dec-02,20,-20,10,67910,1102,60,166,55,0.01622736,0.000883522,0.002444412,0.000809895
LL,2002,Dec-02,25,-25,10,65700,2271,1080,180,11499,0.03456621,0.016438356,0.002739726,0.175022831
LL,2003,Jan-03,20,-20,10,1900,935,1008,54,0,0.492105263,0.530526316,0.028421053,0
LL,2003,Jan-03,25,-25,5,732,1332,732,0,0,1.819672131,1,0,0
LL,2003,Jan-03,25,-25,10,16700,12340,510,646,231,0.738922156,0.030538922,0.038682635,0.013832335
LL,2003,Feb-03,25,-25,0,13200,8442,1324,276,266,0.639545455,0.10030303,0.020909091,0.020151515
LL,2003,Mar-03,25,-25,0,0,0,0,0,0,0,0,0,0
LL,2003,Apr-03,25,-25,0,0,0,0,0,0,0,0,0,0
LL,2003,Feb-03,25,-25,5,1200,982,160,0,53,0.818333333,0.133333333,0,0.044166667
LL,2003,May-03,25,-25,5,10058,2830,920,186,257,0.281368065,0.091469477,0.018492742,0.0255518
LL,2003,May-03,25,-25,10,18150,7716,2630,750,4018,0.425123967,0.144903581,0.041322314,0.22137741
LL,2003,Jun-03,25,-25,5,1600,30,10,40,50,0.01875,0.00625,0.025,0.03125
LL,2003,Jun-03,25,-25,10,6630,1448,185,18,315,0.218401207,0.027903469,0.002714932,0.047511312
LL,2003,Jul-03,20,-20,5,1500,376,30,0,142,0.250666667,0.02,0,0.094666667
LL,2003,Jul-03,25,-25,5,1500,786,27,18,57,0.524,0.018,0.012,0.038
LL,2003,Jul-03,25,-25,10,1800,230,280,40,65,0.127777778,0.155555556,0.022222222,0.036111111
LL,2003,Jul-03,25,-25,5,3000,1351,980,120,481,0.450333333,0.326666667,0.04,0.160333333
LL,2003,Jul-03,25,-25,10,11000,2541,1480,420,2700,0.231,0.134545455,0.038181818,0.245454545
LL,2003,Jul-03,25,-25,5,3000,1351,980,120,481,0.450333333,0.326666667,0.04,0.160333333
LL,2003,Jul-03,25,-25,10,11000,2541,1480,420,2700,0.231,0.134545455,0.038181818,0.245454545
LL,2003,Aug-03,25,-25,0,4100,1907,888,118,148,0.465121951,0.216585366,0.028780488,0.036097561
LL,2003,Sep-03,25,-25,0,1600,368,190,24,369,0.23,0.11875,0.015,0.230625
LL,2003,Oct-03,25,-25,0,0,0,0,0,0,0,0,0,0
LL,2003,Nov-03,25,-25,0,0,0,0,0,0,0,0,0,0
LL,2003,Dec-03,25,-25,0,0,0,0,0,0,0,0,0,0
LL,2004,Jan-04,20,-20,10,64984,80,100,100,59,0.001231072,0.00153884,0.00153884,0.000907916
LL,2004,Jan-04,25,-25,0,32902,22083,0,1415,0,0.671175005,0,0.043006504,0
LL,2004,Jan-04,25,-25,5,2929,1431,0,0,0,0.488562649,0,0,0
LL,2004,Jan-04,25,-25,10,33400,30,55,0,110,0.000898204,0.001646707,0,0.003293413
LL,2004,Feb-04,15,-15,10,47084,539,73,0,460,0.011447626,0.001550421,0,0.009769773
LL,2004,Feb-04,20,-20,10,135006,214,14710,849,544,0.001585115,0.10895812,0.006288609,0.004029451
LL,2004,Feb-04,25,-25,0,30368,12300,0,517,40,0.405031612,0,0.017024499,0.001317176
LL,2004,Feb-04,25,-25,5,59894,31381,45,0,165,0.523942298,0.000751327,0,0.002754867
LL,2004,Feb-04,25,-25,10,31300,2260,9400,0,151,0.072204473,0.300319489,0,0.004824281
LL,2004,Mar-04,15,-15,10,101530,555,133,0,3014,0.005466365,0.001309958,0,0.029685807
LL,2004,Mar-04,20,-20,10,122060,52,37169,807,1189,0.00042602,0.304514173,0.006611503,0.009741111
LL,2004,Mar-04,25,-25,0,56047,34077,1005,150,530,0.608007565,0.017931379,0.002676325,0.009456349
LL,2004,Mar-04,25,-25,5,8849,5146,30,22,25,0.581534637,0.003390214,0.002486157,0.002825178
LL,2004,Mar-04,25,-25,10,54600,0,21940,143,333,0,0.401831502,0.002619048,0.006098901
LL,2004,Apr-04,15,-15,5,13800,1243,0,688,356,0.090072464,0,0.049855072,0.025797101
LL,2004,Apr-04,15,-15,10,84260,4974,300,1856,5748,0.059031569,0.003560408,0.022027059,0.068217422
LL,2004,Apr-04,20,-20,5,6900,499,0,210,0,0.072318841,0,0.030434783,0
LL,2004,Apr-04,20,-20,10,258660,2534,27646,2228,2014,0.009796644,0.106881621,0.008613624,0.007786283
LL,2004,Apr-04,25,-25,10,34320,335,6220,69,93,0.009761072,0.181235431,0.00201049,0.00270979
LL,2004,May-04,15,-15,5,11500,317,0,0,325,0.027565217,0,0,0.02826087
LL,2004,May-04,15,-15,10,66486,3290,0,6,10194,0.049484102,0,9.02446E-05,0.153325512
LL,2004,May-04,20,-20,0,2370,189,0,0,65,0.079746835,0,0,0.02742616
LL,2004,May-04,20,-20,5,12100,358,0,38,602,0.029586777,0,0.003140496,0.049752066
LL,2004,May-04,20,-20,10,170954,15983,720,1279,2753,0.093492986,0.004211659,0.007481545,0.016103747
LL,2004,May-04,25,-25,10,31200,1979,95,130,330,0.063429487,0.003044872,0.004166667,0.010576923
LL,2004,Jun-04,15,-15,10,76348,1532,2265,1041,17176,0.020066014,0.029666789,0.013634935,0.224969875
LL,2004,Jun-04,20,-20,10,120460,15453,6650,1306,2119,0.128283248,0.055205047,0.010841773,0.017590902
LL,2004,Jun-04,25,-25,5,2300,593,25,0,20,0.257826087,0.010869565,0,0.008695652
LL,2004,Jun-04,25,-25,10,102875,7377,6137,478,2358,0.071708384,0.059654921,0.004646416,0.022921021
LL,2004,Jul-04,15,-15,10,8005,1101,0,0,342,0.137539038,0,0,0.042723298
LL,2004,Jul-04,20,-20,10,73279,5383,140,370,677,0.073458972,0.001910506,0.005049196,0.009238663
LL,2004,Jul-04,25,-25,10,83200,8653,2229,200,2481,0.104002404,0.026790865,0.002403846,0.029819712
LL,2004,Aug-04,15,-15,5,7568,949,0,0,554,0.125396406,0,0,0.07320296
LL,2004,Aug-04,15,-15,10,1700,0,0,0,0,0,0,0,0
LL,2004,Aug-04,20,-20,5,8060,1069,0,0,392,0.132630273,0,0,0.048635236
LL,2004,Aug-04,20,-20,10,75176,3446,11,0,440,0.045839098,0.000146323,0,0.005852932
LL,2004,Aug-04,25,-25,0,2300,282,0,0,558,0.122608696,0,0,0.242608696
LL,2004,Aug-04,25,-25,5,50600,11889,2719,0,2681,0.234960474,0.053735178,0,0.05298419
LL,2004,Aug-04,25,-25,10,35300,1671,0,285,0,0.04733711,0,0.008073654,0
LL,2004,Sep-04,20,-20,10,13500,1014,0,0,83,0.075111111,0,0,0.006148148
LL,2004,Sep-04,25,-25,10,6400,410,0,100,0,0.0640625,0,0.015625,0
LL,2004,Oct-04,15,-15,10,3744,0,0,185,0,0,0,0.049412393,0
LL,2004,Oct-04,20,-20,0,6420,2702,24,114,456,0.420872274,0.003738318,0.017757009,0.071028037
LL,2004,Oct-04,20,-20,5,10713,2032,0,48,602,0.189676094,0,0.004480538,0.05619341
LL,2004,Oct-04,20,-20,10,1200,0,0,56,0,0,0,0.046666667,0
LL,2004,Oct-04,25,-25,0,4944,1031,44,73,632,0.208535599,0.008899676,0.014765372,0.127831715
LL,2004,Oct-04,25,-25,5,11374,3696,8,35,1105,0.324951644,0.000703359,0.003077194,0.097151398
LL,2004,Nov-04,15,-15,10,28596,62,0,420,0,0.002168135,0,0.014687369,0
LL,2004,Nov-04,20,-20,10,36350,1402,0,0,1111,0.038569464,0,0,0.030563961
LL,2004,Nov-04,25,-25,0,1726,14,0,0,0,0.00811124,0,0,0
LL,2004,Nov-04,25,-25,5,31192,3809,10,0,801,0.122114645,0.000320595,0,0.025679661
LL,2004,Nov-04,25,-25,10,13800,582,0,40,414,0.042173913,0,0.002898551,0.03
LL,2004,Dec-04,15,-15,10,11400,117,30,0,45,0.010263158,0.002631579,0,0.003947368
LL,2004,Dec-04,20,-20,10,76500,2441,380,0,1099,0.031908497,0.00496732,0,0.014366013
LL,2004,Dec-04,25,-25,10,7500,40,70,0,0,0.005333333,0.009333333,0,0
LL,2005,Jan-05,15,-15,10,30356,334,0,162,124,0.011002767,0,0.005336671,0.00408486
LL,2005,Jan-05,20,-20,10,32448,294,110,52,136,0.009060651,0.003390039,0.001602564,0.004191321
LL,2005,Jan-05,25,-25,10,10000,80,5224,0,260,0.008,0.5224,0,0.026
LL,2005,Feb-05,15,-15,0,1450,1368,0,0,0,0.943448276,0,0,0
LL,2005,Feb-05,15,-15,10,6250,0,0,0,215,0,0,0,0.0344
LL,2005,Feb-05,20,-20,0,1357,2668,0,0,0,1.966101695,0,0,0
LL,2005,Feb-05,20,-20,10,20500,36,0,0,45,0.001756098,0,0,0.002195122
LL,2005,Mar-05,15,-15,10,41492,6576,0,1485,277,0.158488383,0,0.035790032,0.006675986
LL,2005,Mar-05,20,-20,5,36592,94004,0,0,0,2.568976826,0,0,0
LL,2005,Mar-05,20,-20,10,34253,4965,0,954,111,0.144950807,0,0.027851575,0.003240592
LL,2005,Apr-05,15,-15,10,112612,3455,0,791,5988,0.030680567,0,0.007024118,0.053173729
LL,2005,Apr-05,20,-20,10,106452,3463,4332,1451,600,0.032531094,0.040694397,0.013630556,0.005636343
LL,2005,Apr-05,25,-25,5,840,31,0,31,0,0.036904762,0,0.036904762,0
LL,2005,Apr-05,25,-25,10,43206,2225,493364,747,1183,0.051497477,11.41887701,0.017289265,0.027380456
LL,2005,May-05,15,-15,0,5520,5073,0,0,57,0.919021739,0,0,0.010326087
LL,2005,May-05,15,-15,5,8922,2110,0,259,464,0.23649406,0,0.029029366,0.052006277
LL,2005,May-05,15,-15,10,7787,1522,7,108,468,0.195453962,0.000898934,0.013869269,0.060100167
LL,2005,May-05,20,-20,0,31740,16034,0,0,283,0.505166982,0,0,0.008916194
LL,2005,May-05,20,-20,5,6045,2198,0,238,199,0.363606286,0,0.039371381,0.032919768
LL,2005,May-05,20,-20,10,169193,17880,84,793,4520,0.105678131,0.000496474,0.004686955,0.026715053
LL,2005,May-05,25,-25,10,135544,29226,9993,4876,15837,0.21562002,0.073725137,0.035973558,0.116840288
LL,2005,Jun-05,15,-15,0,24840,8356,0,0,322,0.336392915,0,0,0.012962963
LL,2005,Jun-05,15,-15,5,29520,21824,0,388,605,0.739295393,0,0.013143631,0.02049458
LL,2005,Jun-05,15,-15,10,40414,4187,40,336,211,0.103602712,0.000989756,0.008313951,0.005220963
LL,2005,Jun-05,20,-20,0,9660,6612,0,0,299,0.68447205,0,0,0.030952381
LL,2005,Jun-05,20,-20,5,25505,2761,20,420,619,0.108253284,0.00078416,0.016467359,0.024269751
LL,2005,Jun-05,20,-20,10,116160,11940,642,1316,3955,0.102789256,0.00552686,0.011329201,0.034047865
LL,2005,Jun-05,25,-25,10,122112,21597,10056,1895,15765,0.176862225,0.082350629,0.01551854,0.129102791
LL,2005,Jul-05,15,-15,0,20890,5736,178,0,85,0.274581139,0.008520823,0,0.004068933
LL,2005,Jul-05,15,-15,5,50688,13042,1550,68,1531,0.257299558,0.03057923,0.00134154,0.030204388
LL,2005,Jul-05,15,-15,10,37232,12745,940,23,206,0.342313064,0.025247099,0.000617748,0.005532875
LL,2005,Jul-05,20,-20,0,6900,1938,0,0,90,0.280869565,0,0,0.013043478
LL,2005,Jul-05,20,-20,5,31931,9804,377,34,5083,0.307037049,0.011806708,0.001064796,0.159186997
LL,2005,Jul-05,20,-20,10,174987,33275,324,67,18349,0.190156983,0.001851566,0.000382886,0.104859218
LL,2005,Jul-05,25,-25,5,2805,209,0,0,0,0.074509804,0,0,0
LL,2005,Jul-05,25,-25,10,71926,35911,13016,154,25750,0.499277035,0.180963768,0.002141089,0.35800684
LL,2005,Jul-05,25,-25,15,1445,807,0,0,0,0.558477509,0,0,0
LL,2005,Aug-05,15,-15,0,8800,971,11,0,0,0.110340909,0.00125,0,0
LL,2005,Aug-05,15,-15,5,26142,6086,331,6,634,0.232805447,0.012661617,0.000229516,0.024252161
LL,2005,Aug-05,15,-15,10,3288,43,0,0,445,0.013077859,0,0,0.135340633
LL,2005,Aug-05,20,-20,0,1440,18,0,0,0,0.0125,0,0,0
LL,2005,Aug-05,20,-20,5,31260,4733,378,23,199,0.15140755,0.012092131,0.000735765,0.006365963
LL,2005,Aug-05,20,-20,10,134231,18767,924,1024,7043,0.139811221,0.006883656,0.00762864,0.052469251
LL,2005,Aug-05,25,-25,0,6360,1086,305,0,0,0.170754717,0.047955975,0,0
LL,2005,Aug-05,25,-25,5,11736,2195,233,0,0,0.187031357,0.019853442,0,0
LL,2005,Aug-05,25,-25,10,87264,18959,5399,304,15803,0.217260268,0.061869729,0.003483682,0.181094151
LL,2005,Sep-05,15,-15,0,32394,11421,413,321,1460,0.35256529,0.012749275,0.009909242,0.045070075
LL,2005,Sep-05,15,-15,5,85226,14485,658,2496,14765,0.169959871,0.007720649,0.029286837,0.173245254
LL,2005,Sep-05,15,-15,10,63312,1963,72,0,4861,0.031005181,0.001137225,0,0.076778494
LL,2005,Sep-05,20,-20,0,28187,10086,170,0,209,0.357824529,0.006031149,0,0.007414766
LL,2005,Sep-05,20,-20,5,8356,2045,30,11,11,0.244734323,0.003590235,0.001316419,0.001316419
LL,2005,Sep-05,20,-20,10,160887,18116,1589,598,4601,0.112600769,0.009876497,0.003716894,0.028597711
LL,2005,Sep-05,25,-25,10,111070,26496,6483,237,30128,0.238552264,0.058368596,0.00213379,0.271252363
LL,2005,Oct-05,15,-15,0,26379,8689,0,0,702,0.329390803,0,0,0.026612078
LL,2005,Oct-05,15,-15,10,200601,1693,40,510,34823,0.008439639,0.000199401,0.00254236,0.173593352
LL,2005,Oct-05,20,-20,0,41726,19267,110,79,1884,0.461750467,0.002636246,0.001893304,0.045151704
LL,2005,Oct-05,20,-20,5,49244,9586,354,0,1636,0.194663309,0.007188693,0,0.033222322
LL,2005,Oct-05,20,-20,10,142247,9316,173,16,1264,0.065491715,0.001216194,0.00011248,0.008885952
LL,2005,Oct-05,25,-25,0,47240,16598,35,0,1149,0.351354784,0.000740898,0,0.024322608
LL,2005,Oct-05,25,-25,5,26140,9062,185,0,713,0.346671767,0.007077276,0,0.027276205
LL,2005,Oct-05,25,-25,10,139559,16968,5745,245,34799,0.121582986,0.041165385,0.00175553,0.249349737
LL,2005,Nov-05,15,-15,0,24931,10540,0,0,17,0.422766836,0,0,0.000681882
LL,2005,Nov-05,15,-15,5,123848,1440,0,1987,42488,0.011627156,0,0.01604386,0.343065693
LL,2005,Nov-05,15,-15,10,190940,1887,59,642,17931,0.009882686,0.000308998,0.003362313,0.093909081
LL,2005,Nov-05,20,-20,0,35178,18535,0,0,37,0.526891807,0,0,0.001051794
LL,2005,Nov-05,20,-20,5,28676,4353,67,40,316,0.151799414,0.002336449,0.001394895,0.011019668
LL,2005,Nov-05,20,-20,10,55591,10537,179,0,431,0.18954507,0.003219946,0,0.007753054
LL,2005,Nov-05,25,-25,0,68309,34226,0,0,942,0.501046714,0,0,0.013790277
LL,2005,Nov-05,25,-25,5,41697,5967,37,85,851,0.14310382,0.000887354,0.002038516,0.020409142
LL,2005,Nov-05,25,-25,10,131427,16818,83471,11,17769,0.127964573,0.635113029,8.36967E-05,0.13520053
LL,2005,Dec-05,15,-15,0,7040,1043,0,0,0,0.148153409,0,0,0
LL,2005,Dec-05,15,-15,5,74408,367,0,1049,18820,0.004932265,0,0.014097946,0.252929792
LL,2005,Dec-05,15,-15,10,165530,895,121,145,5972,0.005406875,0.000730985,0.000875974,0.036078052
LL,2005,Dec-05,20,-20,0,40282,11175,0,0,0,0.277419195,0,0,0
LL,2005,Dec-05,20,-20,5,50474,17885,0,23,136,0.354340849,0,0.00045568,0.002694457
