"Gear
Group",Year,Time,Lat,Latd,Lon,Effort,SWO,ALB,YFT,BET,CPUE-SWO,CPUE-ALB,CPUE-YFT,CPUE-BET
LL,2002,2-Oct,30,-30,10,1440,126,17,0,92,0.0875,0.011805556,0,0.063888889
LL,2002,2-Oct,30,-30,10,9600,1430,740,0,5325,0.148958333,0.077083333,0,0.5546875
LL,2002,2-Oct,30,-30,10,1700,130,0,0,95,0.076470588,0,0,0.055882353
LL,2002,2-Oct,30,-30,15,4200,712,250,198,2142,0.16952381,0.05952381,0.047142857,0.51
LL,2002,2-Oct,30,-30,15,6000,520,320,0,1860,0.086666667,0.053333333,0,0.31
LL,2002,2-Oct,30,-30,15,1500,160,0,0,100,0.106666667,0,0,0.066666667
LL,2002,2-Oct,30,-30,15,1500,434,0,0,15,0.289333333,0,0,0.01
LL,2002,2-Oct,30,-30,15,2000,402,0,40,5305,0.201,0,0.02,2.6525
LL,2002,2-Oct,30,-30,15,3000,240,150,0,3300,0.08,0.05,0,1.1
LL,2002,2-Oct,30,-30,15,6460,185,360,105,7008,0.028637771,0.055727554,0.01625387,1.084829721
LL,2002,2-Oct,30,-30,15,24820,9737,530,475,5441,0.392304593,0.021353747,0.019137792,0.219218372
LL,2002,2-Oct,30,-30,15,4750,353,50,35,1605,0.074315789,0.010526316,0.007368421,0.337894737
LL,2002,2-Oct,30,-30,15,9240,4471,1162,2166,2918,0.483874459,0.125757576,0.234415584,0.315800866
LL,2002,2-Oct,30,-30,15,1000,306,20,0,31,0.306,0.02,0,0.031
LL,2002,2-Oct,35,-35,15,4600,1197,30,40,282,0.260217391,0.006521739,0.008695652,0.061304348
LL,2002,2-Oct,35,-35,15,4300,588,20,193,110,0.136744186,0.004651163,0.044883721,0.025581395
LL,2002,2-Nov,30,-30,10,35800,4317,2744,125,29056,0.120586592,0.076648045,0.00349162,0.811620112
LL,2002,2-Nov,30,-30,15,13800,1228,690,50,7286,0.088985507,0.05,0.003623188,0.527971014
LL,2002,2-Nov,30,-30,15,4900,599,623,30,3762,0.122244898,0.127142857,0.006122449,0.767755102
LL,2002,2-Nov,30,-30,15,3100,1045,410,0,705,0.337096774,0.132258065,0,0.227419355
LL,2002,2-Nov,30,-30,15,9700,1323,3835,380,7473,0.136391753,0.395360825,0.039175258,0.770412371
LL,2002,2-Nov,30,-30,15,23200,4674,2875,0,13632,0.201465517,0.123922414,0,0.587586207
LL,2002,2-Nov,30,-30,15,6400,2254,300,280,1800,0.3521875,0.046875,0.04375,0.28125
LL,2002,2-Nov,30,-30,15,2490,226,90,0,180,0.090763052,0.036144578,0,0.072289157
LL,2002,2-Nov,30,-30,15,12300,2329,630,240,3018,0.189349593,0.051219512,0.019512195,0.245365854
LL,2002,2-Nov,30,-30,15,13656,3486,680,910,4311,0.255272408,0.049794962,0.066637376,0.315685413
LL,2002,2-Nov,30,-30,15,1200,78,40,76,42,0.065,0.033333333,0.063333333,0.035
LL,2002,2-Nov,35,-35,15,1200,637,90,0,111,0.530833333,0.075,0,0.0925
LL,2002,2-Nov,30,-30,10,1300,361,0,0,0,0.277692308,0,0,0
LL,2002,2-Nov,35,-35,15,1800,45,0,0,0,0.025,0,0,0
LL,2002,2-Nov,35,-35,15,7860,749,417,2355,130,0.095292621,0.053053435,0.299618321,0.01653944
LL,2002,2-Nov,35,-35,15,3700,5735,0,326,0,1.55,0,0.088108108,0
LL,2002,2-Nov,35,-35,15,1200,345,0,10,0,0.2875,0,0.008333333,0
LL,2002,2-Nov,35,-35,15,2550,308,30,175,80,0.120784314,0.011764706,0.068627451,0.031372549
LL,2002,2-Dec,30,-30,15,1300,60,0,0,40,0.046153846,0,0,0.030769231
LL,2002,2-Dec,30,-30,15,7500,1281,0,70,1267,0.1708,0,0.009333333,0.168933333
LL,2002,2-Dec,30,-30,15,1000,0,90,0,67,0,0.09,0,0.067
LL,2002,2-Dec,30,-30,15,4800,917,70,260,330,0.191041667,0.014583333,0.054166667,0.06875
LL,2002,2-Dec,30,-30,15,13000,2625,1705,2400,1784,0.201923077,0.131153846,0.184615385,0.137230769
LL,2002,2-Dec,30,-30,15,7200,621,510,45,434,0.08625,0.070833333,0.00625,0.060277778
LL,2002,2-Dec,35,-35,15,5200,780,550,1580,300,0.15,0.105769231,0.303846154,0.057692308
LL,2002,2-Dec,35,-35,15,6600,1557,400,1884,252,0.235909091,0.060606061,0.285454545,0.038181818
LL,2002,2-Dec,35,-35,15,3000,356,220,0,36,0.118666667,0.073333333,0,0.012
LL,2002,2-Dec,35,-35,15,1500,551,120,0,146,0.367333333,0.08,0,0.097333333
LL,2002,2-Dec,35,-35,15,2600,655,0,210,223,0.251923077,0,0.080769231,0.085769231
LL,2003,3-Jan,30,-30,10,1900,1050,45,97,0,0.552631579,0.023684211,0.051052632,0
LL,2003,3-Jan,30,-30,15,13800,1854,178,160,1893,0.134347826,0.012898551,0.011594203,0.137173913
LL,2003,3-Jan,35,-35,15,2400,1689,64,318,637,0.70375,0.026666667,0.1325,0.265416667
LL,2003,3-Jan,30,-30,15,28100,16101,3409,1051,404,0.572989324,0.121316726,0.037402135,0.014377224
LL,2003,3-Jan,30,-30,10,3500,1071,60,7,80,0.306,0.017142857,0.002,0.022857143
LL,2003,3-Jan,30,-30,15,9600,1504,140,88,255,0.156666667,0.014583333,0.009166667,0.0265625
LL,2003,3-Feb,30,-30,0,0,0,0,0,0,0,0,0,0
LL,2003,3-Mar,30,-30,10,1400,150,80,0,0,0.107142857,0.057142857,0,0
LL,2003,3-Mar,30,-30,15,11600,2250,560,60,60,0.193965517,0.048275862,0.005172414,0.005172414
LL,2003,3-Apr,30,-30,5,6000,1683,410,48,72,0.2805,0.068333333,0.008,0.012
LL,2003,3-Apr,30,-30,10,3000,830,230,230,80,0.276666667,0.076666667,0.076666667,0.026666667
LL,2003,3-Apr,30,-30,15,10100,2216,130,440,430,0.219405941,0.012871287,0.043564356,0.042574257
LL,2003,3-Apr,35,-35,15,8600,549,0,575,28,0.063837209,0,0.066860465,0.003255814
LL,2003,3-Apr,35,-35,15,700,43,210,187,0,0.061428571,0.3,0.267142857,0
LL,2003,3-Apr,35,-35,15,8600,549,0,575,28,0.063837209,0,0.066860465,0.003255814
LL,2003,3-May,30,-30,10,21000,10137,1051,180,1416,0.482714286,0.050047619,0.008571429,0.067428571
LL,2003,3-May,30,-30,10,7700,5183,2632,309,737,0.673116883,0.341818182,0.04012987,0.095714286
LL,2003,3-May,30,-30,10,7700,5183,2632,309,737,0.673116883,0.341818182,0.04012987,0.095714286
LL,2003,3-Jun,30,-30,10,1600,35,150,0,35,0.021875,0.09375,0,0.021875
LL,2003,3-Jun,30,-30,15,13900,4792,691,288,1563,0.344748201,0.04971223,0.020719424,0.112446043
LL,2003,3-Jun,30,-30,10,5400,3242,415,40,700,0.60037037,0.076851852,0.007407407,0.12962963
LL,2003,3-Jun,30,-30,15,25860,3383,6055,1181,1787,0.130819799,0.234145398,0.045668987,0.069102862
LL,2003,3-Jun,30,-30,10,5400,3242,415,40,700,0.60037037,0.076851852,0.007407407,0.12962963
LL,2003,3-Jun,30,-30,15,25860,3383,6055,1181,1787,0.130819799,0.234145398,0.045668987,0.069102862
LL,2003,3-Jun,35,-35,15,15300,1007,630,1489,315,0.065816993,0.041176471,0.097320261,0.020588235
LL,2003,3-Jun,35,-35,15,15300,1007,630,1489,315,0.065816993,0.041176471,0.097320261,0.020588235
LL,2003,3-Jul,30,-30,5,1600,840,760,0,742,0.525,0.475,0,0.46375
LL,2003,3-Jul,30,-30,10,11200,2960,378,0,2731,0.264285714,0.03375,0,0.243839286
LL,2003,3-Jul,35,-35,5,1400,440,50,0,40,0.314285714,0.035714286,0,0.028571429
LL,2003,3-Jul,35,-35,10,19400,7152,2200,60,5836,0.368659794,0.113402062,0.003092784,0.300824742
LL,2003,3-Jul,30,-30,5,1500,112,30,42,0,0.074666667,0.02,0.028,0
LL,2003,3-Jul,30,-30,10,17700,5958,2070,30,2098,0.336610169,0.116949153,0.001694915,0.118531073
LL,2003,3-Jul,30,-30,15,10200,2019,336,40,610,0.197941176,0.032941176,0.003921569,0.059803922
LL,2003,3-Jul,35,-35,10,9500,3137,845,30,2235,0.330210526,0.088947368,0.003157895,0.235263158
LL,2003,3-Aug,30,-30,5,9000,3376,1050,24,699,0.375111111,0.116666667,0.002666667,0.077666667
LL,2003,3-Aug,30,-30,10,3520,0,80,0,340,0,0.022727273,0,0.096590909
LL,2003,3-Aug,30,-30,15,47800,12139,2477,734,9178,0.253953975,0.051820084,0.015355649,0.192008368
LL,2003,3-Aug,35,-35,15,5800,997,177,73,376,0.171896552,0.030517241,0.012586207,0.064827586
LL,2003,3-Aug,35,-35,15,16210,147,1512,5281,3140,0.009068476,0.093275756,0.325786552,0.193707588
LL,2003,3-Sep,35,-35,15,7025,1616,415,512,2111,0.230035587,0.059074733,0.072882562,0.300498221
LL,2003,3-Sep,30,-30,10,2400,51,9,21,0,0.02125,0.00375,0.00875,0
LL,2003,3-Sep,30,-30,15,24760,3217,418,777,2677,0.129927302,0.016882068,0.03138126,0.108117932
LL,2003,3-Sep,35,-35,15,6600,645,197,310,1110,0.097727273,0.029848485,0.046969697,0.168181818
LL,2003,3-Oct,30,-30,15,1000,256,210,363,202,0.256,0.21,0.363,0.202
LL,2003,3-Oct,35,-35,15,5125,2317,606,297,623,0.452097561,0.118243902,0.05795122,0.121560976
LL,2003,3-Oct,30,-30,15,2400,0,22,105,80,0,0.009166667,0.04375,0.033333333
LL,2003,3-Oct,35,-35,15,4600,325,170,485,80,0.070652174,0.036956522,0.105434783,0.017391304
LL,2003,3-Oct,30,-30,15,3200,180,42,307,418,0.05625,0.013125,0.0959375,0.130625
LL,2003,3-Nov,30,-30,10,2500,0,0,0,1200,0,0,0,0.48
LL,2003,3-Dec,30,-30,10,0,0,0,0,0,0,0,0,0
LL,2003,4-Jan,30,-30,10,0,0,0,0,0,0,0,0,0
LL,2004,4-Feb,30,-30,15,750,0,0,0,0,0,0,0,0
LL,2004,4-Feb,35,-35,15,4345,0,0,100,0,0,0,0.02301496,0
LL,2004,4-Mar,30,-30,15,5300,0,0,1883,0,0,0,0.355283019,0
LL,2004,4-Mar,35,-35,15,10606,30,9,865,0,0.002828588,0.000848576,0.081557609,0
LL,2004,4-Apr,30,-30,15,500,0,0,0,0,0,0,0,0
LL,2004,4-Apr,35,-35,15,4865,0,0,235,0,0,0,0.048304214,0
LL,2004,4-Apr,30,-30,10,4800,2080,0,0,0,0.433333333,0,0,0
LL,2004,4-Apr,30,-30,15,6000,3013,0,0,0,0.502166667,0,0,0
LL,2004,4-Apr,30,-30,15,1300,80,20,70,25,0.061538462,0.015384615,0.053846154,0.019230769
LL,2004,4-Mar,30,-30,5,6900,5909,0,147,0,0.856376812,0,0.021304348,0
LL,2004,4-Apr,35,-35,15,1600,760,16,30,370,0.475,0.01,0.01875,0.23125
LL,2004,4-May,30,-30,10,10720,6535,1630,442,775,0.609608209,0.152052239,0.041231343,0.072294776
LL,2004,4-May,30,-30,15,1000,511,60,37,128,0.511,0.06,0.037,0.128
LL,2004,4-May,30,-30,15,1600,255,40,80,60,0.159375,0.025,0.05,0.0375
LL,2004,4-Jun,30,-30,15,15600,7275,1530,0,2487,0.466346154,0.098076923,0,0.159423077
LL,2004,4-Jun,30,-30,10,24280,12862,2230,0,1395,0.529736409,0.09184514,0,0.057454695
LL,2004,4-Jun,30,-30,15,8700,2943,497,245,1155,0.338275862,0.057126437,0.02816092,0.132758621
